#domain,#reason
aap.my.id,running the Ghostbox fork as of 2023-09-28: https://github.com/null2264/Ghostbox
aposimz.net,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
baradoz.cloud,running the Mangane hard fork as of 2024-01-19: https://github.com/BDX-town/Mangane
battleangels.net,running the Mangane hard fork as of 2024-01-19: https://github.com/BDX-town/Mangane
bdx.town,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
borkr.one,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
cozymech.com,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
cutefox.gay,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
disroot.org,running the Mangane hard fork as of 2024-01-19: https://github.com/BDX-town/Mangane
dryusdan.fr,running the Mangane hard fork as of 2024-01-19: https://github.com/BDX-town/Mangane
lapineige.fr,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
lyven.live,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
masktodon.social,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
meyer-guillot.fr,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
nancengka.com,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
obsidianrealm.club,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
prodottoinrete.com,running the Mangane hard fork as of 2024-01-19: https://github.com/BDX-town/Mangane
saturno.com.ve,running the Mangane hard fork as of 2024-01-19: https://github.com/BDX-town/Mangane
sopelj.ca,running the Mangane hard fork as of 2024-01-19: https://github.com/BDX-town/Mangane
shrediverse.net,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
snipetteville.in,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
tatooine.space,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
thewired.zone,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
transfem.org,migrated to transfem.social and retired the Transbox soft fork as of 2023-08-06: https://github.com/transfem-org/transbox
tryptophonic.com,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
zoski.fr,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
