#domain,#reason
aposimz.net,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
bdx.town,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
borkr.one,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
cozymech.com,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
cutefox.gay,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
lapineige.fr,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
lyven.live,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
masktodon.social,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
meyer-guillot.fr,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
nancengka.com,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
obsidianrealm.club,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
shrediverse.net,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
snipetteville.in,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
tatooine.space,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
thewired.zone,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
tryptophonic.com,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
zoski.fr,running the Mangane hard fork as of 2023-08-12: https://github.com/BDX-town/Mangane
