#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
0n.ee,suspend,false,false,Soapbox detected on 0.0n.ee at 2023-08-05 by soapblock.sh,false
12vpx.com,suspend,false,false,Soapbox detected on social.12vpx.com at 2023-08-05 by soapblock.sh,false
1611.social,suspend,false,false,Soapbox detected on 1611.social at 2023-08-05 by soapblock.sh,false
2k36.org,suspend,false,false,Soapbox detected on fed.2k36.org at 2023-08-05 by soapblock.sh,false
2snc.eu,suspend,false,false,Soapbox detected on rb.2snc.eu at 2023-08-05 by soapblock.sh,false
5evo.fan,suspend,false,false,Soapbox detected on 5evo.fan at 2023-08-11 by soapblock.sh,false
a3size.com,suspend,false,false,Soapbox detected on social.a3size.com at 2023-08-12 by soapblock.sh,false
agates.io,suspend,false,false,Soapbox detected on activitypub.agates.io at 2023-08-05 by soapblock.sh,false
agdersam.no,suspend,false,false,Soapbox detected on sosial.agdersam.no at 2023-08-05 by soapblock.sh,false
aguilera.soy,suspend,false,false,Soapbox detected on social.aguilera.soy at 2023-08-12 by soapblock.sh,false
allistodon.xyz,suspend,false,false,Soapbox detected on allistodon.xyz at 2023-08-05 by soapblock.sh,false
alongtheray.social,suspend,false,false,Soapbox detected on alongtheray.social at 2023-08-05 by soapblock.sh,false
animalliberation.social,suspend,false,false,Soapbox detected on animalliberation.social at 2023-08-05 by soapblock.sh,false
anticom.world,suspend,false,false,Soapbox detected on anticom.world at 2023-08-05 by soapblock.sh,false
antiserious.us,suspend,false,false,Soapbox detected on antiserious.us at 2023-08-13 by soapblock.sh,false
arinbasu.online,suspend,false,false,Soapbox detected on social.arinbasu.online at 2023-08-05 by soapblock.sh,false
as59715.net,suspend,false,false,Soapbox detected on social.as59715.net at 2023-08-05 by soapblock.sh,false
asimon.org,suspend,false,false,Soapbox detected on asimon.org at 2023-08-05 by soapblock.sh,false
awoo.fyi,suspend,false,false,Soapbox detected on awoo.fyi at 2023-08-05 by soapblock.sh,false
ayotocorp.com,suspend,false,false,Soapbox detected on pfeed.ayotocorp.com at 2023-08-05 by soapblock.sh,false
azazel.fun,suspend,false,false,Soapbox detected on tw.azazel.fun at 2023-08-05 by soapblock.sh,false
b10m.net,suspend,false,false,Soapbox detected on social.b10m.net at 2023-08-05 by soapblock.sh,false
bae.st,suspend,false,false,Soapbox detected on sb.bae.st at 2023-08-05 by soapblock.sh,false
